permission,intake_specialist,case_manager,admin,developer
approve_ai_actions,1,1,1,1
approve_status_change_requests,0,0,1,1
archive_surrogates,0,1,1,1
assign_surrogates,0,1,1,1
change_surrogate_status,1,1,1,1
create_tasks,1,1,1,1
delete_surrogates,0,0,1,1
delete_tasks,0,1,1,1
edit_intended_parents,0,1,1,1
edit_surrogate_notes,1,1,1,1
edit_surrogates,1,1,1,1
edit_tasks,1,1,1,1
export_data,0,0,1,1
import_surrogates,1,1,1,1
manage_admin_exports,0,0,0,1
manage_admin_imports,0,0,0,1
manage_admin_versions,0,0,0,1
manage_ai_settings,1,1,1,1
manage_appointments,1,1,1,1
manage_automation,0,0,1,1
manage_compliance,0,0,1,1
manage_email_templates,0,0,1,1
manage_forms,0,0,1,1
manage_integrations,0,0,1,1
manage_jobs,0,0,0,1
manage_meta_leads,0,0,1,1
manage_ops,0,0,1,1
manage_org,0,0,1,1
manage_pipelines,0,0,1,1
manage_queues,0,0,1,1
manage_roles,0,0,0,1
manage_team,0,0,1,1
propose_matches,0,1,1,1
purge_compliance_data,0,0,0,1
use_ai_assistant,1,1,1,1
view_ai_conversations_all,0,0,0,1
view_ai_usage,1,1,1,1
view_audit_log,0,0,1,1
view_dashboard,1,1,1,1
view_email_templates,1,1,1,1
view_intended_parents,0,1,1,1
view_matches,0,1,1,1
view_post_approval_surrogates,1,1,1,1
view_reports,0,1,1,1
view_roles,0,0,1,1
view_surrogate_notes,1,1,1,1
view_surrogates,1,1,1,1
view_tasks,1,1,1,1
